what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1717687248164
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1717687248164
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1717687248164
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1717687248164
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1717687248164
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1717687248164
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1717687248164
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1717687248164
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1717687248164
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1717687248164
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1717687248164
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1717687248164
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1717687248180
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1717687248180
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1717687248180
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1717687248180
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1717687248180
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1717687248180
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1717687248180
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1717687248180
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1717687248180
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1717687248180
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1717687248180
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1717687248180
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1717687248180
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1717687248180
os,sysinfo,,,"win32",1717687248196
arch,sysinfo,,,"x86",1717687248196
ws,sysinfo,,,"win32",1717687248196
locale,sysinfo,,,"en_US",1717687248196
processors,sysinfo,,,"4",1717687248196
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1717687248196
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1717687248196
java.specification.name,sysinfo,,,"Java Platform API Specification",1717687248196
java.specification.vendor,sysinfo,,,"Oracle Corporation",1717687248196
java.specification.version,sysinfo,,,"1.7",1717687248196
java.vendor,sysinfo,,,"Oracle Corporation",1717687248196
java.version,sysinfo,,,"1.7.0_02",1717687248196
java.vm.info,sysinfo,,,"mixed mode",1717687248196
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1717687248196
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1717687248196
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1717687248196
java.vm.specification.version,sysinfo,,,"1.7",1717687248196
java.vm.vendor,sysinfo,,,"Oracle Corporation",1717687248196
java.vm.version,sysinfo,,,"22.0-b10",1717687248196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687249946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1717687253452
